,country,average,iq,education_expenditure_per_inhabitant,daily_max_temp,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq
39,Israel,above,94,1226.0,25.4,57.0,72.0,84.0,81.0,81.0,36.0,30.0,22070.0,9360000.0,424.3
40,Malaysia,above,93,273.0,32.1,70.0,58.0,61.0,91.0,44.0,46.0,44.0,330345.0,32780000.0,99.2
41,Armenia,above,92,32.0,14.8,36.0,51.0,70.0,93.0,50.0,57.0,23.0,1478703.15,101358196.72,840.45
42,Georgia,above,92,38.0,20.2,46.0,63.0,67.0,88.0,45.0,58.0,36.0,1478703.15,101358196.72,840.45
43,Kazakhstan,above,92,97.0,13.5,54.0,36.0,69.0,82.0,40.0,60.0,33.0,1478703.15,101358196.72,840.45
44,Greece,above,92,541.0,22.3,60.0,61.0,89.0,88.0,70.0,44.0,45.0,131960.0,10660000.0,80.8
45,Bulgaria,above,91,114.0,18.1,68.0,51.0,81.0,85.0,49.0,62.0,39.0,1478703.15,101358196.72,840.45
46,Argentina,above,90,278.0,23.9,41.0,44.0,79.0,78.0,78.0,41.0,34.0,2780400.0,45810000.0,16.5
47,Romania,above,90,120.0,16.0,64.0,57.0,73.0,88.0,37.0,68.0,24.0,238400.0,19120000.0,80.2
48,Turkey,above,89,141.0,20.4,31.0,38.0,64.0,87.0,62.0,59.0,50.0,785350.0,85040000.0,108.3
49,Thailand,above,89,108.0,33.0,61.0,40.0,65.0,96.0,46.0,55.0,42.0,513120.0,69950000.0,136.3
50,Serbia,above,89,164.0,18.3,54.0,44.0,71.0,87.0,51.0,57.0,11.0,1478703.15,101358196.72,840.45
51,Chile,above,89,210.0,18.4,66.0,79.0,68.0,87.0,47.0,54.0,33.0,1478703.15,101358196.72,840.45
52,Cambodia,above,88,7.0,32.5,56.0,19.0,28.0,68.0,52.0,66.0,35.0,181040.0,16950000.0,93.6
53,Bermuda,above,88,1552.0,24.6,89.0,78.0,96.0,93.0,68.0,34.0,35.0,53.0,60000.0,1200.5
54,Brunei,above,88,840.0,31.7,59.58,54.29,62.5,79.73,50.85,51.19,38.96,5770.0,440000.0,76.5
55,Azerbaijan,above,87,57.0,20.5,46.0,24.0,70.0,38.0,56.0,64.0,19.0,1478703.15,101358196.72,840.45
